EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE
NSE,D,53028,NA,FUTSTK,1185,AMBER,AMBER-Aug2025-FUT,AMBER AUG FUT,FUT,NA,100,28/08/25,-0.01,XX,50,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53031,NA,FUTSTK,1185,AMBER,AMBER-Sep2025-FUT,AMBER SEP FUT,FUT,NA,100,30/09/25,-0.01,XX,50,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53032,NA,FUTSTK,1270,AMBUJACEM,AMBUJACEM-Sep2025-FUT,AMBUJACEM SEP FUT,FUT,NA,1050,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53033,NA,FUTSTK,324,ANGELONE,ANGELONE-Sep2025-FUT,ANGELONE SEP FUT,FUT,NA,250,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53034,NA,FUTSTK,25780,APLAPOLLO,APLAPOLLO-Sep2025-FUT,APLAPOLLO SEP FUT,FUT,NA,350,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53036,NA,FUTSTK,157,APOLLOHOSP,APOLLOHOSP-Sep2025-FUT,APOLLOHOSP SEP FUT,FUT,NA,125,30/09/25,-0.01,XX,50,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53037,NA,FUTSTK,212,ASHOKLEY,ASHOKLEY-Sep2025-FUT,ASHOKLEY SEP FUT,FUT,NA,5000,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53039,NA,FUTSTK,236,ASIANPAINT,ASIANPAINT-Sep2025-FUT,ASIANPAINT SEP FUT,FUT,NA,250,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53040,NA,FUTSTK,14418,ASTRAL,ASTRAL-Sep2025-FUT,ASTRAL SEP FUT,FUT,NA,425,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53041,NA,FUTSTK,21238,AUBANK,AUBANK-Sep2025-FUT,AUBANK SEP FUT,FUT,NA,1000,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
